student_id,student_name,student_dob,student_email,student_major
20233893,Bùi Văn Trang,2005-06-27,trang.bv233893@sis.hust.edu.vn,IT-E15
20214827,Nguyễn Quang Anh,2003-12-14,anh.nq214827@sis.hust.edu.vn,IT-E7
20249644,Trần Thanh Anh,2006-06-25,anh.tt249644@sis.hust.edu.vn,IT-E10
20248703,Nguyễn Việt Hương,2006-07-12,huong.nv248703@sis.hust.edu.vn,IT-EP
20201186,Đỗ Minh Trang,2002-12-02,trang.dm201186@sis.hust.edu.vn,IT2
20213469,Hồ Xuân Anh,2003-01-21,anh.hx213469@sis.hust.edu.vn,IT-EP
20212120,Đặng Anh Hương,2003-12-20,huong.da212120@sis.hust.edu.vn,IT1
20212853,Phạm Quang Anh,2003-01-22,anh.pq212853@sis.hust.edu.vn,IT-E6
20218878,Đỗ Việt Dũng,2003-05-22,dung.dv218878@sis.hust.edu.vn,IT1
20213503,Đặng Anh Anh,2003-10-16,anh.da213503@sis.hust.edu.vn,IT2
20227376,Bùi Quang Hương,2004-11-19,huong.bq227376@sis.hust.edu.vn,IT-E7
20223016,Nguyễn Minh Hương,2004-09-08,huong.nm223016@sis.hust.edu.vn,IT1
20232556,Hồ Minh Tú,2005-08-08,tu.hm232556@sis.hust.edu.vn,IT-EP
20216828,Trần Minh Hương,2003-09-15,huong.tm216828@sis.hust.edu.vn,IT-EP
20236528,Hoàng Thị Dũng,2005-03-14,dung.ht236528@sis.hust.edu.vn,IT-E6
20211995,Đỗ Minh Anh,2003-11-05,anh.dm211995@sis.hust.edu.vn,IT-E15
20239249,Hồ Ngọc Nam,2005-11-20,nam.hn239249@sis.hust.edu.vn,IT-E15
20206879,Vũ Minh Nam,2002-08-25,nam.vm206879@sis.hust.edu.vn,IT1
20211566,Lê Thị Thảo,2003-02-19,thao.lt211566@sis.hust.edu.vn,IT-E15
20225621,Hồ Thanh Tú,2004-11-10,tu.ht225621@sis.hust.edu.vn,IT-EP
20201141,Lê Việt Nam,2002-02-23,nam.lv201141@sis.hust.edu.vn,IT2
20237440,Nguyễn Minh Hương,2005-07-07,huong.nm237440@sis.hust.edu.vn,IT-E15
20247071,Bùi Việt Nam,2006-09-03,nam.bv247071@sis.hust.edu.vn,IT-E10
20238807,Nguyễn Anh Sơn,2005-07-15,son.na238807@sis.hust.edu.vn,IT-E7
20207443,Nguyễn Minh Tú,2002-04-06,tu.nm207443@sis.hust.edu.vn,IT-E7
20201738,Trần Văn Hương,2002-10-20,huong.tv201738@sis.hust.edu.vn,IT1
20243300,Vũ Huy Nam,2006-03-12,nam.vh243300@sis.hust.edu.vn,IT-E7
20234584,Đặng Thanh Trang,2005-11-02,trang.dt234584@sis.hust.edu.vn,IT-EP
20236758,Đỗ Thị Huy,2005-05-20,huy.dt236758@sis.hust.edu.vn,IT-E15
20221618,Nguyễn Ngọc Hương,2004-09-15,huong.nn221618@sis.hust.edu.vn,IT-E7
20232948,Lê Anh Thảo,2005-10-16,thao.la232948@sis.hust.edu.vn,IT2
20224522,Đỗ Việt Trang,2004-06-02,trang.dv224522@sis.hust.edu.vn,IT-E10
20248896,Đặng Thanh Huy,2006-03-07,huy.dt248896@sis.hust.edu.vn,IT-E7
20208185,Trần Anh Hương,2002-12-12,huong.ta208185@sis.hust.edu.vn,IT-E6
20245226,Bùi Thanh Anh,2006-01-15,anh.bt245226@sis.hust.edu.vn,IT-E6
20241349,Hoàng Việt Huy,2006-08-14,huy.hv241349@sis.hust.edu.vn,IT-EP
20235389,Bùi Văn Tú,2005-07-17,tu.bv235389@sis.hust.edu.vn,IT1
20213675,Đặng Văn Huy,2003-10-03,huy.dv213675@sis.hust.edu.vn,IT2
20219727,Trần Anh Hương,2003-01-03,huong.ta219727@sis.hust.edu.vn,IT2
20204101,Phạm Xuân Hương,2002-12-27,huong.px204101@sis.hust.edu.vn,IT1
20241702,Lê Anh Huy,2006-06-26,huy.la241702@sis.hust.edu.vn,IT-E7
20208407,Phạm Minh Tú,2002-08-01,tu.pm208407@sis.hust.edu.vn,IT-EP
20223932,Hoàng Ngọc Dũng,2004-05-05,dung.hn223932@sis.hust.edu.vn,IT-E7
20227852,Bùi Anh Trang,2004-04-05,trang.ba227852@sis.hust.edu.vn,IT-E7
20225207,Hoàng Ngọc Tú,2004-04-24,tu.hn225207@sis.hust.edu.vn,IT1
20238986,Vũ Ngọc Sơn,2005-11-22,son.vn238986@sis.hust.edu.vn,IT2
20229930,Đặng Văn Anh,2004-11-10,anh.dv229930@sis.hust.edu.vn,IT-EP
20215232,Hoàng Ngọc Dũng,2003-06-07,dung.hn215232@sis.hust.edu.vn,IT-E6
20235006,Lê Huy Huy,2005-06-11,huy.lh235006@sis.hust.edu.vn,IT-EP
20232495,Vũ Thanh Trang,2005-04-12,trang.vt232495@sis.hust.edu.vn,IT-E7
20236986,Bùi Thanh Thảo,2005-03-28,thao.bt236986@sis.hust.edu.vn,IT-E6
20232419,Đỗ Anh Thảo,2005-02-13,thao.da232419@sis.hust.edu.vn,IT-E7
20248581,Trần Văn Huy,2006-03-09,huy.tv248581@sis.hust.edu.vn,IT-EP
20224924,Nguyễn Văn Huy,2004-11-08,huy.nv224924@sis.hust.edu.vn,IT-EP
20234333,Phạm Xuân Huy,2005-04-03,huy.px234333@sis.hust.edu.vn,IT2
20228291,Nguyễn Minh Dũng,2004-03-15,dung.nm228291@sis.hust.edu.vn,IT-E15
20237620,Nguyễn Minh Nam,2005-06-25,nam.nm237620@sis.hust.edu.vn,IT1
20217022,Đặng Thanh Sơn,2003-03-15,son.dt217022@sis.hust.edu.vn,IT-E6
20207853,Nguyễn Quang Trang,2002-03-21,trang.nq207853@sis.hust.edu.vn,IT2
20231220,Hồ Huy Anh,2005-03-13,anh.hh231220@sis.hust.edu.vn,IT-E10
20214058,Bùi Thanh Nam,2003-03-08,nam.bt214058@sis.hust.edu.vn,IT1
20211044,Đỗ Thị Hương,2003-07-12,huong.dt211044@sis.hust.edu.vn,IT-E7
20207662,Hoàng Anh Dũng,2002-02-26,dung.ha207662@sis.hust.edu.vn,IT-EP
20246856,Phạm Minh Linh,2006-01-10,linh.pm246856@sis.hust.edu.vn,IT2
20243316,Phạm Minh Huy,2006-10-20,huy.pm243316@sis.hust.edu.vn,IT2
20243662,Trần Quang Tú,2006-05-07,tu.tq243662@sis.hust.edu.vn,IT1
20242217,Trần Thị Anh,2006-06-08,anh.tt242217@sis.hust.edu.vn,IT2
20219275,Phạm Thanh Linh,2003-06-19,linh.pt219275@sis.hust.edu.vn,IT2
20226323,Hoàng Việt Tú,2004-08-14,tu.hv226323@sis.hust.edu.vn,IT-E10
20243733,Trần Việt Sơn,2006-06-01,son.tv243733@sis.hust.edu.vn,IT-E15
20223855,Hồ Quang Tú,2004-09-08,tu.hq223855@sis.hust.edu.vn,IT-E15
20204629,Nguyễn Xuân Dũng,2002-02-28,dung.nx204629@sis.hust.edu.vn,IT1
20224560,Đỗ Huy Nam,2004-05-10,nam.dh224560@sis.hust.edu.vn,IT-E6
20201871,Phạm Quang Anh,2002-07-25,anh.pq201871@sis.hust.edu.vn,IT-E7
20205170,Hồ Thị Huy,2002-12-04,huy.ht205170@sis.hust.edu.vn,IT-E7
20234432,Đỗ Việt Linh,2005-09-17,linh.dv234432@sis.hust.edu.vn,IT-EP
20223293,Hoàng Việt Hương,2004-12-26,huong.hv223293@sis.hust.edu.vn,IT1
20213695,Phạm Quang Huy,2003-11-05,huy.pq213695@sis.hust.edu.vn,IT-EP
20231370,Bùi Ngọc Linh,2005-08-06,linh.bn231370@sis.hust.edu.vn,IT-EP
20241144,Phạm Văn Hương,2006-03-18,huong.pv241144@sis.hust.edu.vn,IT-E7
20203296,Trần Minh Linh,2002-05-14,linh.tm203296@sis.hust.edu.vn,IT1
20201831,Nguyễn Huy Thảo,2002-09-19,thao.nh201831@sis.hust.edu.vn,IT2
20218698,Vũ Huy Linh,2003-04-27,linh.vh218698@sis.hust.edu.vn,IT1
20225973,Hoàng Quang Nam,2004-12-18,nam.hq225973@sis.hust.edu.vn,IT1
20239563,Nguyễn Việt Linh,2005-12-26,linh.nv239563@sis.hust.edu.vn,IT-EP
20229901,Lê Quang Thảo,2004-09-04,thao.lq229901@sis.hust.edu.vn,IT-E15
20211667,Nguyễn Ngọc Sơn,2003-09-23,son.nn211667@sis.hust.edu.vn,IT2
20246905,Phạm Việt Dũng,2006-03-06,dung.pv246905@sis.hust.edu.vn,IT-E10
20245752,Hoàng Văn Tú,2006-06-19,tu.hv245752@sis.hust.edu.vn,IT1
20229610,Phạm Huy Linh,2004-08-18,linh.ph229610@sis.hust.edu.vn,IT1
20215013,Hồ Xuân Sơn,2003-07-13,son.hx215013@sis.hust.edu.vn,IT-E15
20236409,Đỗ Quang Linh,2005-02-22,linh.dq236409@sis.hust.edu.vn,IT-E7
20207767,Bùi Thanh Linh,2002-08-04,linh.bt207767@sis.hust.edu.vn,IT-E15
20201637,Vũ Văn Tú,2002-06-25,tu.vv201637@sis.hust.edu.vn,IT-E7
20231422,Lê Huy Trang,2005-01-24,trang.lh231422@sis.hust.edu.vn,IT-E10
20232743,Vũ Thị Tú,2005-03-23,tu.vt232743@sis.hust.edu.vn,IT-E7
20215615,Bùi Quang Nam,2003-07-25,nam.bq215615@sis.hust.edu.vn,IT-EP
20207574,Lê Huy Thảo,2002-04-02,thao.lh207574@sis.hust.edu.vn,IT1
