teacher_id,teacher_name,teacher_faculty,teacher_email
069296,Hồ Việt Hương,Khoa Công nghệ giáo dục,huong.hv069296@sis.hust.edu.vn
031295,Phạm Anh Hương,Khoa Ngoại ngữ,huong.pa031295@sis.hust.edu.vn
052219,Vũ Việt Hương,Khoa Cơ khí,huong.vv052219@sis.hust.edu.vn
023594,Nguyễn Anh Nam,Khoa Kĩ thuật máy tính,nam.na023594@sis.hust.edu.vn
041378,Vũ Xuân Nam,Khoa Điện tử Viễn thông,nam.vx041378@sis.hust.edu.vn
027522,Đỗ Việt Tú,Khoa Kĩ thuật máy tính,tu.dv027522@sis.hust.edu.vn
057755,Trần Việt Tú,Khoa Cơ khí,tu.tv057755@sis.hust.edu.vn
044281,Hồ Văn Tú,Khoa Điện tử Viễn thông,tu.hv044281@sis.hust.edu.vn
027489,Hồ Ngọc Thảo,Khoa Kĩ thuật máy tính,thao.hn027489@sis.hust.edu.vn
068383,Vũ Anh Hương,Khoa Công nghệ giáo dục,huong.va068383@sis.hust.edu.vn
043168,Nguyễn Thị Trang,Khoa Điện tử Viễn thông,trang.nt043168@sis.hust.edu.vn
024818,Đặng Ngọc Tú,Khoa Kĩ thuật máy tính,tu.dn024818@sis.hust.edu.vn
044942,Bùi Quang Dũng,Khoa Điện tử Viễn thông,dung.bq044942@sis.hust.edu.vn
068236,Đỗ Minh Nam,Khoa Công nghệ giáo dục,nam.dm068236@sis.hust.edu.vn
043498,Lê Huy Trang,Khoa Điện tử Viễn thông,trang.lh043498@sis.hust.edu.vn
056445,Trần Huy Sơn,Khoa Cơ khí,son.th056445@sis.hust.edu.vn
016942,Hồ Ngọc Tú,Khoa Khoa học máy tính,tu.hn016942@sis.hust.edu.vn
059878,Hồ Xuân Huy,Khoa Cơ khí,huy.hx059878@sis.hust.edu.vn
034595,Bùi Quang Linh,Khoa Ngoại ngữ,linh.bq034595@sis.hust.edu.vn
017768,Lê Văn Tú,Khoa Khoa học máy tính,tu.lv017768@sis.hust.edu.vn
011589,Bùi Thị Anh,Khoa Khoa học máy tính,anh.bt011589@sis.hust.edu.vn
047052,Nguyễn Quang Anh,Khoa Điện tử Viễn thông,anh.nq047052@sis.hust.edu.vn
058019,Lê Thị Anh,Khoa Cơ khí,anh.lt058019@sis.hust.edu.vn
054741,Hoàng Minh Anh,Khoa Cơ khí,anh.hm054741@sis.hust.edu.vn
045398,Nguyễn Thị Anh,Khoa Điện tử Viễn thông,anh.nt045398@sis.hust.edu.vn
058485,Đỗ Ngọc Nam,Khoa Cơ khí,nam.dn058485@sis.hust.edu.vn
039105,Bùi Thị Hương,Khoa Ngoại ngữ,huong.bt039105@sis.hust.edu.vn
067445,Phạm Minh Sơn,Khoa Công nghệ giáo dục,son.pm067445@sis.hust.edu.vn
027945,Hoàng Thanh Linh,Khoa Kĩ thuật máy tính,linh.ht027945@sis.hust.edu.vn
038047,Nguyễn Việt Dũng,Khoa Ngoại ngữ,dung.nv038047@sis.hust.edu.vn
033061,Nguyễn Huy Tú,Khoa Ngoại ngữ,tu.nh033061@sis.hust.edu.vn
011594,Nguyễn Huy Thảo,Khoa Khoa học máy tính,thao.nh011594@sis.hust.edu.vn
014901,Đỗ Quang Dũng,Khoa Khoa học máy tính,dung.dq014901@sis.hust.edu.vn
025534,Hoàng Minh Hương,Khoa Kĩ thuật máy tính,huong.hm025534@sis.hust.edu.vn
044118,Hoàng Việt Huy,Khoa Điện tử Viễn thông,huy.hv044118@sis.hust.edu.vn
052237,Hồ Ngọc Hương,Khoa Cơ khí,huong.hn052237@sis.hust.edu.vn
057244,Nguyễn Minh Hương,Khoa Cơ khí,huong.nm057244@sis.hust.edu.vn
011365,Phạm Thị Huy,Khoa Khoa học máy tính,huy.pt011365@sis.hust.edu.vn
025324,Hồ Anh Trang,Khoa Kĩ thuật máy tính,trang.ha025324@sis.hust.edu.vn
026923,Đặng Việt Linh,Khoa Kĩ thuật máy tính,linh.dv026923@sis.hust.edu.vn
064610,Bùi Thị Huy,Khoa Công nghệ giáo dục,huy.bt064610@sis.hust.edu.vn
057507,Vũ Văn Hương,Khoa Cơ khí,huong.vv057507@sis.hust.edu.vn
051609,Vũ Văn Sơn,Khoa Cơ khí,son.vv051609@sis.hust.edu.vn
042216,Đỗ Anh Sơn,Khoa Điện tử Viễn thông,son.da042216@sis.hust.edu.vn
034961,Lê Huy Anh,Khoa Ngoại ngữ,anh.lh034961@sis.hust.edu.vn
055530,Vũ Anh Hương,Khoa Cơ khí,huong.va055530@sis.hust.edu.vn
